Distance	Time																																																	
	0.25	0.5	0.75	1	1.25	1.5	1.75	2	2.25	2.5	2.75	3	3.25	3.5	3.75	4	4.25	4.5	4.75	5	5.25	5.5	5.75	6	6.25	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.25	12.5
0	10.71438196	10.71419389	10.71496796	10.71423101	10.71442278	10.71470428	10.71472743	10.71506153	10.71484107	10.71343476	10.71369845	10.71242031	10.71328548	10.71224593	10.71171704	10.71179114	10.7115782	10.71157956	10.71126278	10.71205497	10.71243111	10.71230059	10.71219035	10.71234023	10.71247033	10.71451099	10.71442256	10.71472016	10.71478333	10.71471628	10.71518351	10.71569201	10.71564625	10.71708184	10.71668639	10.71616623	10.71761862	10.71767796	10.71765789	10.71647863	10.71743171	10.71863433	10.71790898	10.71772228	10.71790967	10.71794128	10.71807637	10.71714676	10.71731705	10.71659378
1499	13.70927282	13.7094666	13.709764	13.70937687	13.70895629	13.7086522	13.70818016	13.70871626	13.70853363	13.70822935	13.70775815	13.70780641	13.70727591	13.70748803	13.70678957	13.70625067	13.7055559	13.70615877	13.70554026	13.70596394	13.7068804	13.70719015	13.70734347	13.70690689	13.70791344	13.70805297	13.70925285	13.70893656	13.70891459	13.70955044	13.70996028	13.71014979	13.71050624	13.71125435	13.71152771	13.71171085	13.71242765	13.71241119	13.71232302	13.71158876	13.71243604	13.71213367	13.71200337	13.71186707	13.7124936	13.71230004	13.71152554	13.71193213	13.71261299	13.71179083
4191	13.49019825	13.48976499	13.48974516	13.48901989	13.48964573	13.48886199	13.48911751	13.48825792	13.48817444	13.48808045	13.48740967	13.48781506	13.48735849	13.48659206	13.48644245	13.48611472	13.48638947	13.48606864	13.48546895	13.48672621	13.48739073	13.48782198	13.48802052	13.48835836	13.48884652	13.48955232	13.48805497	13.48911853	13.48972891	13.4898509	13.49051597	13.49013525	13.49065796	13.49141456	13.49188534	13.49189991	13.49210522	13.49273197	13.49258327	13.49254241	13.49266857	13.49267611	13.49258565	13.49188651	13.49195512	13.49297487	13.49269972	13.4917701	13.4912871	13.49182532
6624	12.60356586	12.60330857	12.60268264	12.60263954	12.60247904	12.60244571	12.60214528	12.60212362	12.60103514	12.6013507	12.60095968	12.60068964	12.60041484	12.59983922	12.59920046	12.59970989	12.59967517	12.59993418	12.60032715	12.60052318	12.60090215	12.60131584	12.60234261	12.60267154	12.60317223	12.60244123	12.60345125	12.60308569	12.60424582	12.60451592	12.60390851	12.60509235	12.60485925	12.60511783	12.60612024	12.60612126	12.60618892	12.60622723	12.60646049	12.6064897	12.60618323	12.60569096	12.60631646	12.60621237	12.60598666	12.60604707	12.60595802	12.60545254	12.60510099	12.60500962
9851	16.47369687	16.47373515	16.47359367	16.47315384	16.47277768	16.47277067	16.47197365	16.47121191	16.47100891	16.47074134	16.47094683	16.47065905	16.47062129	16.47035701	16.47002372	16.47056103	16.47095592	16.47136586	16.47108253	16.47184352	16.47218791	16.47296072	16.47419312	16.47454718	16.47449019	16.47504975	16.47522817	16.47436449	16.47595639	16.47548991	16.47636291	16.47584141	16.47772998	16.47602233	16.47716767	16.47703287	16.47728895	16.47745496	16.47654661	16.47764803	16.47699263	16.47718548	16.47693082	16.47726016	16.4768776	16.47563605	16.4767316	16.47621409	16.47518839	16.4757868
11321	23.28419454	23.28310403	23.28333015	23.28242906	23.28228882	23.28193642	23.2813327	23.28124564	23.28086385	23.28012812	23.28027126	23.28001199	23.27891073	23.27939719	23.27954883	23.27920487	23.28029896	23.28029292	23.28224432	23.28228206	23.28291235	23.28306593	23.28419999	23.28474494	23.28430139	23.28490884	23.28468818	23.28569517	23.286131	23.28563845	23.28683004	23.28690315	23.28619607	23.28744598	23.28646873	23.28713358	23.28814348	23.28726551	23.28736532	23.28662532	23.28771973	23.28642841	23.28606751	23.28673894	23.28734303	23.2859359	23.28565084	23.28592396	23.2856394	23.2846637
13580	27.60616676	27.60573967	27.60554822	27.60566394	27.60510095	27.60464867	27.60361791	27.60361115	27.60305516	27.60186172	27.60197989	27.60159286	27.6007843	27.60135508	27.60244918	27.60232091	27.60341382	27.60434532	27.60455211	27.60471996	27.60499461	27.6063238	27.60739764	27.60776377	27.60786454	27.60774724	27.6081121	27.60925007	27.60793106	27.60898519	27.6095411	27.60888743	27.60949	27.61003272	27.60986805	27.61005362	27.6102941	27.609502	27.60907348	27.60994307	27.61020716	27.60959244	27.60888712	27.60898376	27.60854626	27.60825984	27.60794775	27.60796849	27.60755412	27.60593279
16112	13.45700939	13.45714026	13.45614049	13.45607994	13.45547801	13.454715	13.45524849	13.45392489	13.45360024	13.45315282	13.45246671	13.4528175	13.45254276	13.45329663	13.45317888	13.45449967	13.45489381	13.4560045	13.45627205	13.45769866	13.45788193	13.45854654	13.45881461	13.45874839	13.4599785	13.45981804	13.45995364	13.46078692	13.46007851	13.4611587	13.46125522	13.46138158	13.46188886	13.461439	13.46137678	13.46149887	13.46175657	13.46181494	13.46104307	13.46135761	13.46108423	13.46045781	13.46053883	13.46028507	13.45983312	13.45914018	13.45952908	13.45876446	13.45859792	13.45751649
19042	13.67623526	13.67639767	13.67682047	13.67526969	13.67518077	13.67379107	13.67321532	13.67301043	13.67296659	13.67234721	13.67149947	13.67099532	13.67206187	13.6719504	13.67342985	13.67449304	13.67527331	13.67544479	13.67701461	13.67737442	13.67808893	13.67819259	13.67866451	13.67969547	13.67916799	13.67976533	13.68070636	13.6798038	13.68044974	13.68070784	13.68104291	13.68162701	13.68126497	13.68109969	13.68141413	13.68136055	13.68169723	13.68093072	13.68115461	13.680761	13.68109955	13.68037173	13.68014694	13.67989962	13.67933635	13.6790666	13.67797681	13.67884414	13.6778329	13.67688383
